gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,station_code,display_timezone,owner_id,owner_name,provider_start_date,provider_end_date
1356,Καρβελιώτης - Karveliotis,,37.073479,22.223609,598.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,17,Εθνικό Αστεροσκοπείο Αθηνών,2011-12-16,
1458,Ανθήλη,,38.856109,22.466853,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,11,Ελληνικό Κέντρο Θαλάσσιων Ερευνών,,
1461,Βαρυμπόμπη,,38.107278,23.807221,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,14,Εθνικό Μετσόβιο Πολυτεχνείο - Σχολή Μηχανικών Μεταλλείων - Μεταλλουργών,2018-06-08,
1462,Δεκέλεια,,38.092422,23.770555,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,14,Εθνικό Μετσόβιο Πολυτεχνείο - Σχολή Μηχανικών Μεταλλείων - Μεταλλουργών,2018-06-08,
1463,Μοναστήρι,,38.059284,23.746475,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,14,Εθνικό Μετσόβιο Πολυτεχνείο - Σχολή Μηχανικών Μεταλλείων - Μεταλλουργών,2018-06-08,
1464,Κόκκινος Μύλος,,38.045492,23.73706,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,14,Εθνικό Μετσόβιο Πολυτεχνείο - Σχολή Μηχανικών Μεταλλείων - Μεταλλουργών,2018-06-08,
1466,Ρέντης,,37.960928,23.676186,,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,14,Εθνικό Μετσόβιο Πολυτεχνείο - Σχολή Μηχανικών Μεταλλείων - Μεταλλουργών,2018-06-08,
1481,Σαρανταπόταμος (Γύρα Στεφάνης) - Sarantapotamos,,38.132831,23.533028,157.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,17,Εθνικό Αστεροσκοπείο Αθηνών,2018-07-05,
1482,Νέδοντας Καλαμάτα (Γέφυρα Μεγάρου Χορού) - Nedon Kalamata,,37.038592,22.1075,75.0,,Greece,OpenHI / Enhydris public API,,Etc/GMT-2,17,Εθνικό Αστεροσκοπείο Αθηνών,2018-07-05,
1484,Arta's Bridge,,39.15104,20.975265,,,Greece,OpenHI / Enhydris public API,Arta,Etc/GMT-2,21,Laboratory of Knowledge and Intelligent Computing (KIC),,
